Sample ID,Labelled substrate,Label pattern,abundance,Injection,Replicate,Conditions,Incubation time [value],Incubation time [units],data file ID,Retention time [value],Retention time [units],Metabolite name,CHEBI ID,atomic positions to the parent molecule,Empirical formula derivatized molecule/fragment,m/z monitored,signal intensity,isotopologue,Isotopologue [value],Isotopologue [units]
coldcom_glc_i3,,,,3,1,cold_commercial,,hour,32_Coldcom_G.CDF       ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,331,752,m3,0.02,%
coldcom_glc_i3,,,,3,1,cold_commercial,,hour,32_Coldcom_G.CDF       ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,332,159,m4,-0.02,%
coldcom_glc_i3,,,,3,1,cold_commercial,,hour,32_Coldcom_G.CDF       ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,333,151,m5,0.01,%
coldcom_glc_i3,,,,3,1,cold_commercial,,hour,32_Coldcom_G.CDF       ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,334,6,m6,-0.03,%
coldcom_glc_i3,,,,3,1,cold_commercial,,hour,32_Coldcom_G.CDF       ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,335,132,,,
coldcom_glc_i3,,,,3,1,cold_commercial,,hour,32_Coldcom_G.CDF       ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,336,103,,,
Ctr_18h_lac_r1_i1,Glucose,"1,1,0,0,0,0",0.4175,1,1,Ctr,18,hour,36_L10.CDF             ,5.2,min,Lactate,CHEBI:24996,C1-C3,C10H13O3NF7,327,7297,,,
Ctr_18h_lac_r1_i1,Glucose,"1,1,0,0,0,0",0.4175,1,1,Ctr,18,hour,36_L10.CDF             ,5.2,min,Lactate,CHEBI:24996,C1-C3,C10H13O3NF7,328,260621,m0,93.63,%
Ctr_18h_lac_r1_i1,Glucose,"1,1,0,0,0,0",0.4175,1,1,Ctr,18,hour,36_L10.CDF             ,5.2,min,Lactate,CHEBI:24996,C1-C3,C10H13O3NF7,329,31097,m1,0.05,%
Ctr_18h_lac_r1_i1,Glucose,"1,1,0,0,0,0",0.4175,1,1,Ctr,18,hour,36_L10.CDF             ,5.2,min,Lactate,CHEBI:24996,C1-C3,C10H13O3NF7,330,23456,m2,6.4,%
Ctr_18h_lac_r1_i1,Glucose,"1,1,0,0,0,0",0.4175,1,1,Ctr,18,hour,36_L10.CDF             ,5.2,min,Lactate,CHEBI:24996,C1-C3,C10H13O3NF7,331,2307,m3,-0.08,%
Ctr_18h_lac_r1_i1,Glucose,"1,1,0,0,0,0",0.4175,1,1,Ctr,18,hour,36_L10.CDF             ,5.2,min,Lactate,CHEBI:24996,C1-C3,C10H13O3NF7,332,472,,,
Ctr_18h_lac_r1_i2,Glucose,"1,1,0,0,0,0",0.4175,2,1,Ctr,18,hour,39_L10.CDF             ,5.2,min,Lactate,CHEBI:24996,C1-C3,C10H13O3NF7,327,10490,,,
Ctr_18h_lac_r1_i2,Glucose,"1,1,0,0,0,0",0.4175,2,1,Ctr,18,hour,39_L10.CDF             ,5.2,min,Lactate,CHEBI:24996,C1-C3,C10H13O3NF7,328,367564,m0,93.53,%
