Raw Data File,tracer molecule,labelled positions,abundance,Parameter Value[injection],Parameter Value[Replicate],Factor Value[Incubation time],Metabolite name,CHEBI identifier,atomic positions to the parent molecule/metabolite name,Empirical formula derivatized molecule/fragment,m/z monitored,signal intensity,isotopologue,isotologue abundance relative concentration
RibNat1_03.CDF,,,,3,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,256,975103,Rib_13C0,
RibNat1_03.CDF,,,,3,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,257,115502,Rib_13C1,
RibNat1_03.CDF,,,,3,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,258,19955,Rib_13C2,
RibNat1_03.CDF,,,,3,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,259,2233,Rib_13C3,
RibNat1_03.CDF,,,,3,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,260,1767,Rib_13C4,
RibNat1_03.CDF,,,,3,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,261,133,Rib_13C5,
RibNat1_03.CDF,,,,3,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,262,237,,
GlycHyp1_01.CDF,Glucose,"1,1,0,0,0,0",48,1,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,327,2196,,
GlycHyp1_01.CDF,Glucose,"1,1,0,0,0,0",48,1,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,328,2446098,Glyc_13C0,
GlycHyp1_01.CDF,Glucose,"1,1,0,0,0,0",48,1,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,329,399396,Glyc_13C1,
GlycHyp1_01.CDF,Glucose,"1,1,0,0,0,0",48,1,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,330,1422059,Glyc_13C2,
GlycHyp1_01.CDF,Glucose,"1,1,0,0,0,0",48,1,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,331,196738,Glyc_13C3,
GlycHyp1_01.CDF,Glucose,"1,1,0,0,0,0",48,1,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,332,59646,Glyc_13C4,
GlycHyp1_01.CDF,Glucose,"1,1,0,0,0,0",48,1,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,333,7591,Glyc_13C5,
GlycHyp1_01.CDF,Glucose,"1,1,0,0,0,0",48,1,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,334,7395,Glyc_13C6,
GlycHyp1_01.CDF,Glucose,"1,1,0,0,0,0",48,1,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,335,127,,
GlycHyp1_02.CDF,Glucose,"1,1,0,0,0,0",48,2,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,327,1620,,
GlycHyp1_02.CDF,Glucose,"1,1,0,0,0,0",48,2,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,328,1769847,Glyc_13C0,
GlycHyp1_02.CDF,Glucose,"1,1,0,0,0,0",48,2,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,329,293369,Glyc_13C1,
GlycHyp1_02.CDF,Glucose,"1,1,0,0,0,0",48,2,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,330,1027502,Glyc_13C2,
GlycHyp1_02.CDF,Glucose,"1,1,0,0,0,0",48,2,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,331,142206,Glyc_13C3,
GlycHyp1_02.CDF,Glucose,"1,1,0,0,0,0",48,2,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,332,42838,Glyc_13C4,
GlycHyp1_02.CDF,Glucose,"1,1,0,0,0,0",48,2,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,333,5202,Glyc_13C5,
GlycHyp1_02.CDF,Glucose,"1,1,0,0,0,0",48,2,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,334,5315,Glyc_13C6,
GlycHyp1_03.CDF,Glucose,"1,1,0,0,0,0",48,3,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,327,1843,,
GlycHyp1_03.CDF,Glucose,"1,1,0,0,0,0",48,3,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,328,1911157,Glyc_13C0,
GlycHyp1_03.CDF,Glucose,"1,1,0,0,0,0",48,3,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,329,313581,Glyc_13C1,
GlycHyp1_03.CDF,Glucose,"1,1,0,0,0,0",48,3,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,330,1101163,Glyc_13C2,
GlycHyp1_03.CDF,Glucose,"1,1,0,0,0,0",48,3,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,331,154077,Glyc_13C3,
