Raw_Data_File,cells,tracer_molecule,labelled_positions,abundance,injection,Replicate,Incubation_time,Metabolite_name,CHEBI,atomic_positions,Empirical_formula,retention(min),m/z_monitored,signal_intensity,isotopologue,isotologue_abundance
Glc_BEAS2B_24h_GlucosaC1C2_1_03,Glc,,,,GlucosaC1C2,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,330,4520152,m2,4520152
Glc_BEAS2B_24h_GlucosaC1C2_1_03,Glc,,,,GlucosaC1C2,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,331,615560,m3,615560
Glc_BEAS2B_24h_GlucosaC1C2_1_03,Glc,,,,GlucosaC1C2,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,332,115365,m4,115365
Glc_BEAS2B_24h_GlucosaC1C2_1_03,Glc,,,,GlucosaC1C2,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,333,12269,m5,12269
Glc_BEAS2B_24h_GlucosaC1C2_1_03,Glc,,,,GlucosaC1C2,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,334,2565,m6,2565

Glc_BEAS2B_24h_GlucosaC1C2_2_01,Glc,,,,GlucosaC1C2,01,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,327,7143,m-1,7143
Glc_BEAS2B_24h_GlucosaC1C2_2_01,Glc,,,,GlucosaC1C2,01,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,328,7512366,m0,7512366
Glc_BEAS2B_24h_GlucosaC1C2_2_01,Glc,,,,GlucosaC1C2,01,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,329,1194685,m1,1194685
Glc_BEAS2B_24h_GlucosaC1C2_2_01,Glc,,,,GlucosaC1C2,01,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,330,7915625,m2,7915625
Glc_BEAS2B_24h_GlucosaC1C2_2_01,Glc,,,,GlucosaC1C2,01,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,331,1071505,m3,1071505
Glc_BEAS2B_24h_GlucosaC1C2_2_01,Glc,,,,GlucosaC1C2,01,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,332,198384,m4,198384
Glc_BEAS2B_24h_GlucosaC1C2_2_01,Glc,,,,GlucosaC1C2,01,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,333,21383,m5,21383
Glc_BEAS2B_24h_GlucosaC1C2_2_01,Glc,,,,GlucosaC1C2,01,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,334,4689,m6,4689

Glc_BEAS2B_24h_GlucosaC1C2_2_02,Glc,,,,GlucosaC1C2,02,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,327,5933,m-1,5933
Glc_BEAS2B_24h_GlucosaC1C2_2_02,Glc,,,,GlucosaC1C2,02,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,328,6033223,m0,6033223
Glc_BEAS2B_24h_GlucosaC1C2_2_02,Glc,,,,GlucosaC1C2,02,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,329,954498,m1,954498
Glc_BEAS2B_24h_GlucosaC1C2_2_02,Glc,,,,GlucosaC1C2,02,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,330,6359197,m2,6359197
Glc_BEAS2B_24h_GlucosaC1C2_2_02,Glc,,,,GlucosaC1C2,02,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,331,852317,m3,852317
Glc_BEAS2B_24h_GlucosaC1C2_2_02,Glc,,,,GlucosaC1C2,02,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,332,161502,m4,161502
Glc_BEAS2B_24h_GlucosaC1C2_2_02,Glc,,,,GlucosaC1C2,02,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,333,17130,m5,17130
Glc_BEAS2B_24h_GlucosaC1C2_2_02,Glc,,,,GlucosaC1C2,02,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,334,3995,m6,3995

